#,Sample flow data,,
#,,,
#,Make sure the site id's match the row labels in the catchment area file.,,
#,,,
,1001,1002,1003a
5/05/1950,-99.99,-99.99,-99.99
6/05/1950,-99.99,-99.99,-99.99
7/05/1950,-99.99,-99.99,-99.99
8/05/1950,-99.99,-99.99,-99.99
9/05/1950,-99.99,-99.99,-99.99
10/05/1950,-99.99,-99.99,-99.99
11/05/1950,-99.99,-99.99,-99.99
12/05/1950,-99.99,-99.99,-99.99
13/05/1950,-99.99,-99.99,-99.99
14/05/1950,-99.99,-99.99,-99.99
15/05/1950,-99.99,-99.99,-99.99
16/05/1950,-99.99,-99.99,-99.99
17/05/1950,-99.99,-99.99,-99.99
18/05/1950,-99.99,-99.99,-99.99
19/05/1950,-99.99,-99.99,-99.99
20/05/1950,-99.99,-99.99,-99.99
21/05/1950,-99.99,-99.99,-99.99
22/05/1950,-99.99,-99.99,-99.99
23/05/1950,-99.99,-99.99,-99.99
24/05/1950,-99.99,-99.99,-99.99
25/05/1950,-99.99,-99.99,-99.99
26/05/1950,-99.99,-99.99,-99.99
27/05/1950,-99.99,-99.99,-99.99
28/05/1950,-99.99,-99.99,-99.99
29/05/1950,-99.99,-99.99,-99.99
30/05/1950,-99.99,-99.99,-99.99
31/05/1950,-99.99,-99.99,-99.99
1/06/1950,-99.99,-99.99,-99.99
2/06/1950,-99.99,-99.99,-99.99
3/06/1950,-99.99,-99.99,-99.99
4/06/1950,-99.99,-99.99,-99.99
5/06/1950,-99.99,-99.99,-99.99
6/06/1950,-99.99,-99.99,-99.99
7/06/1950,-99.99,-99.99,-99.99
8/06/1950,-99.99,-99.99,-99.99
9/06/1950,-99.99,-99.99,-99.99
10/06/1950,-99.99,-99.99,-99.99
11/06/1950,-99.99,-99.99,-99.99
12/06/1950,-99.99,-99.99,-99.99
13/06/1950,-99.99,-99.99,-99.99
14/06/1950,-99.99,-99.99,-99.99
15/06/1950,-99.99,-99.99,-99.99
16/06/1950,-99.99,-99.99,-99.99
17/06/1950,-99.99,-99.99,-99.99
18/06/1950,-99.99,-99.99,-99.99
19/06/1950,-99.99,-99.99,-99.99
20/06/1950,-99.99,-99.99,-99.99
21/06/1950,-99.99,-99.99,-99.99
22/06/1950,-99.99,-99.99,-99.99
23/06/1950,-99.99,-99.99,-99.99
